id,doid,source,xref
549625,DOID:0110937,ORDO,2783
561392,DOID:12932,SNOMEDCT_US_2019_09_01,398716006
553708,DOID:5391,NCI,C3494
571916,DOID:10128,UMLS_CUI,C0042485
572101,DOID:10573,NCI,C26838
555615,DOID:0060481,SNOMEDCT_US_2019_09_01,717822006
545751,DOID:3704,NCI,C40103
561068,DOID:5508,UMLS_CUI,C1332609
559997,DOID:5251,UMLS_CUI,C1334179
554531,DOID:5719,SNOMEDCT_US_2019_09_01,127023007
558052,DOID:0111535,UMLS_CUI,C0334041
569920,DOID:8446,MESH,D007443
566383,DOID:10044,UMLS_CUI,C0334426
563860,DOID:0060609,OMIM,210720
565600,DOID:1513,UMLS_CUI,C0269062
551156,DOID:7971,NCI,C39820
575351,DOID:0110767,OMIM,605229
569777,DOID:5875,UMLS_CUI,C0035358
548837,DOID:7491,UMLS_CUI,C1520093
561916,DOID:0050812,OMIM,612847
552041,DOID:11949,ICD10CM,A81.0
573696,DOID:0050776,OMIM,300114
572464,DOID:0090048,ICD10CM,G24.1
559230,DOID:10400,UMLS_CUI,C0578661
576103,DOID:0060862,ORDO,87503
569110,DOID:0111512,MESH,C562938
560192,DOID:3312,MESH,D001714
555889,DOID:0060319,ICD9CM,427.5
566787,DOID:1357,SNOMEDCT_US_2019_09_01,363425008
547160,DOID:1919,UMLS_CUI,C0023374
562780,DOID:14287,SNOMEDCT_US_2019_09_01,91612009
563796,DOID:0090135,OMIM,615763
553883,DOID:0050835,UMLS_CUI,C0752207
568860,DOID:11975,SNOMEDCT_US_2019_09_01,44295002
555779,DOID:4327,ICD10CM,A98.3
548328,DOID:4552,SNOMEDCT_US_2019_09_01,22687000
562592,DOID:3927,UMLS_CUI,C0406608
544169,DOID:7089,NCI,C35558
566150,DOID:3540,MESH,D016545
555548,DOID:0050641,OMIM,268150
572194,DOID:321,OMIM,159580
555432,DOID:12287,NCI,C34682
543440,DOID:3138,NCI,C26687
556485,DOID:5158,NCI,C3332
556431,DOID:0111036,ICD10CM,F01.1
575788,DOID:12211,SNOMEDCT_US_2019_09_01,240820001
574442,DOID:10834,ICD9CM,302.82
561083,DOID:6039,UMLS_CUI,C0220633
558002,DOID:0111793,OMIM,608345
543967,DOID:5438,NCI,C5857
571531,DOID:3388,MESH,D010510
576773,DOID:11180,ICD9CM,381.4
554205,DOID:0060381,UMLS_CUI,C2752048
544396,DOID:12904,ICD9CM,527.6
563744,DOID:2495,NCI,C4390
564464,DOID:12721,GARD,10756
555895,DOID:0060319,ICD10CM,I46
575907,DOID:13641,SNOMEDCT_US_2019_09_01,111514006
564434,DOID:2843,ICD10CM,I45.81
548320,DOID:10286,KEGG,05215
554429,DOID:10034,UMLS_CUI,C0152198
551993,DOID:0060674,ORDO,3286
557716,DOID:12549,SNOMEDCT_US_2019_09_01,40468003
571906,DOID:0060224,UMLS_CUI,C0004238
554877,DOID:4777,NCI,C35706
573993,DOID:5296,UMLS_CUI,C1333969
572992,DOID:8643,UMLS_CUI,C0013298
577267,DOID:13223,MESH,D007889
571814,DOID:5041,NCI,C3533
550305,DOID:2825,MESH,D009668
573269,DOID:0111584,SNOMEDCT_US_2019_09_01,719451006
577247,DOID:3206,SNOMEDCT_US_2019_09_01,404025004
565686,DOID:5325,ORDO,3103
555000,DOID:8649,GARD,7779
554486,DOID:0111018,OMIM,610381
551752,DOID:4112,NCI,C40228
548457,DOID:0111469,GARD,12892
562167,DOID:11486,UMLS_CUI,C0019937
550936,DOID:1458,UMLS_CUI,C0154157
545183,DOID:2513,SNOMEDCT_US_2019_09_01,1338007
570188,DOID:6543,ICD9CM,706.0
546354,DOID:2436,UMLS_CUI,C0334421
550390,DOID:3939,SNOMEDCT_US_2019_09_01,254828009
547937,DOID:13653,ICD10CM,H04.56
571930,DOID:1081,ICD10CM,B74.4
545955,DOID:0110918,OMIM,270970
551685,DOID:0060808,ORDO,85274
568083,DOID:5176,UMLS_CUI,C1335062
563186,DOID:4184,SNOMEDCT_US_2019_09_01,58976002
572322,DOID:8488,UMLS_CUI,C0020224
555321,DOID:0070056,OMIM,615834
568862,DOID:11975,UMLS_CUI,C0155299
571771,DOID:0050425,EFO,0004270
565372,DOID:10011,UMLS_CUI,C1336753
573092,DOID:13636,ORDO,84
560682,DOID:0040085,ICD9CM,995.91
547818,DOID:14737,OMIM,304110
552458,DOID:10930,UMLS_CUI,C0006012
