id,appl_type,appl_no,product_no,patent_no,patent_expire_date,drug_substance_flag,drug_product_flag,patent_use_code,delist_flag
221546,N,209210,001,8431685,2025-04-13,,Y,U-3190,
217201,N,208780,001,8084475,2030-01-08,,,U-2052,
226394,N,208780,003,7910610,2030-01-08,,,U-2048,
217591,N,022406,003,7157456,2024-08-28,Y,Y,U-1302,
225104,N,208078,001,11268128,2032-06-29,,,U-2956,
220803,N,203312,003,8454998,2028-12-26,,Y,U-1646,
221549,N,203389,002,10548859,2036-08-16,,,U-1399,
218216,N,204370,001,7737142,2029-09-17,Y,Y,U-2544,
222192,N,214187,001,9085573,2028-03-21,Y,Y,U-1470,
230959,N,021829,001,10130589,2030-12-22,,Y,,
220238,N,213051,003,10278923,2034-05-02,,,U-2628,
216693,N,205649,002,6515117,2025-10-04,Y,Y,U-493,
216132,N,020832,007,7422388,2027-04-25,,Y,U-1397,
227390,N,211617,001,11613511,2040-06-19,Y,,,
222537,N,215272,001,11612573,2036-05-19,,,U-2625,
221303,N,208564,001,11266661,2034-02-02,,,U-2316,
232971,N,022406,001,9415053*PED,2025-05-13,,,,
220753,N,207932,001,8147866,2027-07-23,,Y,U-1769,
222398,N,022496,002,11452691,2041-01-22,,Y,U-3439,
222607,N,022580,003,8580299,2029-06-14,,,U-3399,
221419,N,217660,001,8629162,2025-06-24,,,U-3592,
226982,N,207931,001,8399015,2024-08-25,,Y,,
223672,N,209241,001,10993941,2037-10-10,,,U-1995,
227192,N,207318,002,7923564,2025-09-26,Y,Y,,
232586,N,021977,001,7662787*PED,2023-08-24,,,,
226957,N,202788,007,10016403,2027-01-25,,Y,,
233663,N,208082,001,10959996*PED,2036-09-07,,,,
219436,N,206619,001,8492386,2032-09-04,,,U-1840,
217886,N,205552,002,8754090,2031-06-03,,,U-1456,
230858,N,203756,002,11298349,2032-02-10,,Y,,
228124,N,209500,001,9616061,2029-05-27,,Y,,
228260,N,207999,001,10751349,2036-04-26,,Y,,
226792,N,205718,001,8951969,2030-11-18,,Y,,
220417,N,210563,001,10478439,2031-06-03,,,U-1650,
