id,property_type_id,property_type_symbol,struct_id,value,reference_id,reference_type,source
3630,1,BA,408,89.0,2900,JOURNAL ARTICLE,kim2014_mapping.tsv
3518,1,BA,1985,26.0,2900,JOURNAL ARTICLE,kim2014_mapping.tsv
770,9,S,1043,0.002,3562,JOURNAL ARTICLE,benet2009_mapping.tsv
4883,3,CL,371,25.0,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
7303,6,t_half,2726,2.4,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
7195,8,Vd,2651,1.1,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
8301,9,S,1464,100.0,3562,JOURNAL ARTICLE,bocci2022_mapping.tsv
4700,6,t_half,143,5.3,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
8633,9,S,5345,0.002,3562,JOURNAL ARTICLE,bocci2022_mapping.tsv
6070,3,CL,1523,19.0,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
672,9,S,894,16.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
3926,1,BA,1433,90.0,2900,JOURNAL ARTICLE,kim2014_mapping.tsv
7224,5,fu,2676,0.45,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
3206,7,MRTD,2767,22.64746666,2898,JOURNAL ARTICLE,contrera2004_mapping.tsv
8740,2,BDDCS,1336,1.0,3562,JOURNAL ARTICLE,bocci2022_mapping.tsv
4181,1,BA,2253,70.0,2900,JOURNAL ARTICLE,kim2014_mapping.tsv
5950,6,t_half,1419,4.32,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
7866,3,CL,4523,1.9,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
6878,8,Vd,2350,0.22,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
3836,1,BA,1098,5.0,2900,JOURNAL ARTICLE,kim2014_mapping.tsv
3063,7,MRTD,2337,34.67910004,2898,JOURNAL ARTICLE,contrera2004_mapping.tsv
3391,2,BDDCS,1791,2.0,3562,JOURNAL ARTICLE,hosey2016_mapping.tsv
1048,2,BDDCS,1437,2.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
8637,9,S,5355,1.7,3562,JOURNAL ARTICLE,bocci2022_mapping.tsv
4541,8,Vd,2854,0.23,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
3120,7,MRTD,2491,0.06467290968,2898,JOURNAL ARTICLE,contrera2004_mapping.tsv
2535,7,MRTD,790,4.873300076,2898,JOURNAL ARTICLE,contrera2004_mapping.tsv
2225,4,EoM,4199,85.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
1507,2,BDDCS,2034,1.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
5415,8,Vd,855,0.13,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
6662,5,fu,2071,0.75,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
7378,5,fu,2815,0.093,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
8865,2,BDDCS,4384,1.0,3562,JOURNAL ARTICLE,bocci2022_mapping.tsv
719,4,EoM,961,41.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
1363,2,BDDCS,1876,1.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
